Year,ID,Total,Blue,DSE,Microsclerotia,Extra-radical,BSF,Vesicles,Notes
2019,531,100,73,7,0,17,NA,NA,
2019,431,100,20,2,0,10,NA,NA,lots of spores
2019,585,100,37,22,1,2,NA,NA,
2019,358,100,55,10,0,2,NA,NA,lots of plant root hairs and lumps with hyphea
2019,285,100,87,30,2,22,NA,NA,plant roots overdyed
2019,557,100,76,14,0,22,NA,NA,
2019,71,100,50,0,0,3,NA,NA,lots of spores
2019,311,100,59,26,0,5,9,NA,lots of spores
2019,366,100,80,19,0,8,9,NA,lots of spores
2019,584,100,47,0,0,3,23,NA,
2019,345,100,36,14,0,1,5,NA,
2019,272,100,19,3,0,0,0,NA,
2019,374,100,37,0,0,3,8,NA,
2019,198,100,30,3,0,0,8,NA,
2019,296,100,20,1,0,0,0,NA,
2019,2,103,5,0,0,4,5,NA,lots of spores
2019,560,100,30,2,0,6,1,NA,
2019,284,100,16,1,0,7,2,NA,
2019,406,100,48,24,4,0,0,NA,
2019,70,100,66,3,0,0,25,NA,
2019,114,100,53,15,0,1,4,2,
2019,600,100,85,11,1,0,0,4,
2019,547,100,61,27,1,0,2,4,
2019,569,100,46,6,1,2,4,4,
2019,587,100,4,0,0,2,0,0,** lots of spores
2019,115,100,20,0,0,0,0,0,lots of spores
2019,95,100,63,16,5,1,0,9,
2019,552,100,54,13,0,1,2,2,
2019,573,100,60,32,0,6,1,11,
2019,479,100,58,3,0,17,9,0,
2019,59,100,7,0,0,0,0,0,
2019,164,100,21,2,0,2,0,1,
2019,489,100,60,27,0,9,7,3,
2019,439,100,62,14,0,11,2,2,
2019,95,100,40,0,0,14,0,5,
2019,68,94,10,2,0,2,0,0,
2019,77,100,0,1,0,0,0,0,
2019,448,100,16,37,2,0,0,0,
2019,532,100,7,3,0,0,0,0,
2019,55,100,47,11,5,1,0,0,
2019,520,100,48,3,0,1,11,0,
2019,46,100,17,7,0,2,1,0,
2019,246,100,52,22,2,13,1,5,
2019,437,100,57,11,3,10,4,5,
2019,250,100,66,25,1,5,3,6,
2019,597,100,59,3,3,3,1,3,
2019,391,100,68,7,0,9,0,1,
2019,574,100,45,22,1,7,0,2,
2019,440,100,54,9,1,6,1,0,
2019,416,84,58,7,0,3,0,5,
2019,496,100,77,10,0,8,1,6,
2019,251,100,24,0,0,2,0,0,
2019,441,87,67,10,1,3,2,18,"Root Staining was dark, DSE hard to count"
2019,318,100,16,3,0,3,0,0,
2019,303,73,31,9,0,3,0,3,
2019,382,100,18,2,0,6,2,0,
2019,438,100,59,5,1,0,0,0,
2019,219,100,53,10,2,2,0,15,
2019,74,94,27,2,0,1,1,0,
2019,402,100,40,8,1,3,3,3,
2019,399,100,69,8,2,3,2,10,
2019,110,100,41,4,0,5,2,1,
2019,288,100,44,22,4,3,0,1,
2019,563,100,28,2,0,1,8,0,
2019,378,100,39,13,0,2,3,7,
2019,598,100,46,3,0,3,4,0,Hard to see sample clearly
2019,430,100,29,6,2,2,0,3,
2019,398,100,42,5,0,2,4,0,
2019,371,100,17,1,0,6,0,0,
2019,116,84,16,1,1,3,1,0,
2019,316,100,11,0,0,5,2,0,
2019,553,100,58,5,3,2,7,2,
2019,360,100,74,27,0,9,2,5,
2019,117,100,51,19,0,6,2,0,
2019,309,100,41,18,1,0,1,9,odd round structures found on roots
2019,467,100,24,4,0,9,1,0,
2019,282,100,32,10,1,4,2,2,
2019,252,100,50,15,0,9,0,0,
2019,212,100,23,1,0,6,1,0,
2019,61,100,39,13,0,2,0,10,
2019,312,100,55,21,0,23,3,0,
2019,596,94,52,10,2,8,18,4,
2019,128,100,20,2,0,3,4,0,
2019,14,100,16,3,3,8,1,0,
