ID,Plant,Source,Inoc,Rep,g_180317,g_180511,g_180516,g_180523,g_180530,g_180605,harvested_extra,surv_180619,surv_180626,surv_180713,Harvest,blw.wet,blw.sub,abv,blw.dry,newGerm,Notes
1,ARTR,ARTR,Live,1,2,6,1,1,1,1,,1,1,1,13-Aug-18,0.69,0.61,0.0595,0.0904,,
2,ARTR,POSE,Live,1,1,4,0,0,0,0,,0,0,0,13-Aug-18,,,,,,
3,ARTR,HECO,Live,1,1,4,4,4,4,4,3,1,1,1,13-Aug-18,,1.37,0.1434,0.1023,,
4,ARTR,PSSP,Live,1,2,7,1,0,0,0,,0,0,0,13-Aug-18,,,,,,
5,ARTR,BARE,Live,1,3,5,0,0,0,0,,0,0,0,13-Aug-18,,,,,,
6,ARTR,ARTR,Sterile,1,1,2,1,2,2,2,1,1,1,1,13-Aug-18,1.32,1.02,0.0982,0.1396,,
7,ARTR,POSE,Sterile,1,1,4,3,3,3,3,2,1,1,1,13-Aug-18,4.19,3.93,0.394,0.5328,,
8,ARTR,HECO,Sterile,1,1,2,0,0,0,0,,0,0,1,13-Aug-18,0.12,0.05,0.0093,0.0116,1,180713 new germ?
9,ARTR,PSSP,Sterile,1,1,3,2,4,4,4,3,1,1,1,13-Aug-18,4.55,4.34,0.2962,0.5793,,
10,ARTR,BARE,Sterile,1,0,3,3,3,3,3,2,1,1,1,13-Aug-18,3.15,3.08,0.2484,0.4223,,
11,POSE,ARTR,Live,1,0,0,0,3,3,3,2,1,1,1,23-Jul-18,1.35,1.28,0.0742,0.2219,,
12,POSE,POSE,Live,1,0,0,1,2,3,3,2,1,1,1,13-Aug-18,1.6,1.4,0.0388,0.1911,,
13,POSE,HECO,Live,1,0,1,3,5,4,4,5,1,1,1,13-Aug-18,3.71,3.6,0.1023,0.9306,,
14,POSE,PSSP,Live,1,0,0,0,1,2,2,1,1,1,1,13-Aug-18,0.81,0.68,0.0512,0.0627,,
15,POSE,BARE,Live,1,0,0,1,2,3,3,2,1,1,1,13-Aug-18,1.38,1.3,0.066,0.1678,,
16,POSE,ARTR,Sterile,1,0,0,0,3,3,3,2,1,1,1,13-Aug-18,2.48,2.34,0.1131,0.2935,,
17,POSE,POSE,Sterile,1,0,0,0,2,4,4,3,1,1,1,31-Jul-18,0.34,,0.0077,0.0384,,
18,POSE,HECO,Sterile,1,0,0,0,1,3,3,2,1,1,1,13-Aug-18,1.14,1.02,0.0372,0.1479,,
19,POSE,PSSP,Sterile,1,0,0,1,2,4,4,3,1,1,1,13-Aug-18,1.34,1.22,0.0697,0.2233,,
20,POSE,BARE,Sterile,1,0,0,1,4,4,4,4,1,1,1,13-Aug-18,1.16,1.13,0.0532,0.1484,,
21,HECO,ARTR,Live,1,0,0,1,1,1,1,,1,1,1,13-Aug-18,5.15,4.67,0.4123,0.6711,,
22,HECO,POSE,Live,1,0,0,0,0,0,0,,0,0,1,13-Aug-18,0.12,,0.0067,0.0099,1,180713 new germ?
23,HECO,HECO,Live,1,0,0,0,0,0,0,,0,0,0,,,,,,,
24,HECO,PSSP,Live,1,0,0,0,0,0,0,,0,0,0,,,,,,,
25,HECO,BARE,Live,1,0,0,0,0,1,1,,1,1,1,13-Aug-18,3.61,3.41,0.2975,0.6215,,
26,HECO,ARTR,Sterile,1,0,0,0,0,0,0,,0,0,0,,,,,,,
27,HECO,POSE,Sterile,1,0,0,0,0,0,0,,0,0,0,,,,,,,
28,HECO,HECO,Sterile,1,0,0,0,0,0,0,,0,0,0,,,,,,,
29,HECO,PSSP,Sterile,1,0,0,0,0,0,0,,0,0,1,13-Aug-18,0.11,,0.0069,0.0107,1,180713 new germ?
30,HECO,BARE,Sterile,1,0,0,0,0,0,0,,0,0,0,,,,,,,
31,PSSP,ARTR,Live,1,0,0,3,4,4,4,3,1,1,1,13-Aug-18,6.72,6.4,0.3684,1.7451,,
32,PSSP,POSE,Live,1,0,1,4,4,4,4,3,1,1,1,13-Aug-18,4.64,4.49,0.3199,0.7496,,
33,PSSP,HECO,Live,1,0,1,4,4,4,4,3,1,1,1,13-Aug-18,8.11,8,0.5708,1.4087,,
34,PSSP,PSSP,Live,1,0,0,5,5,5,5,4,1,1,1,13-Aug-18,5.05,5.01,0.2611,0.9713,,
35,PSSP,BARE,Live,1,0,1,3,4,5,5,4,1,1,1,13-Aug-18,6.44,6.19,0.2572,1.272,,
36,PSSP,ARTR,Sterile,1,0,0,0,3,5,5,4,1,1,1,13-Aug-18,3.72,3.39,0.0917,0.5716,,
37,PSSP,POSE,Sterile,1,0,0,3,4,5,5,6,1,1,1,13-Aug-18,4.68,4.44,0.1951,0.9388,,
38,PSSP,HECO,Sterile,1,0,0,2,4,5,5,3,1,1,1,13-Aug-18,8.31,8.23,0.3725,2.4887,,
39,PSSP,PSSP,Sterile,1,0,0,4,4,5,5,4,1,1,1,13-Aug-18,8.3,8.26,0.2843,2.4123,,
40,PSSP,BARE,Sterile,1,0,1,3,3,4,4,3,1,1,1,13-Aug-18,11.16,10.48,0.4543,2.5357,,
41,ARTR,ARTR,Live,2,1,1,1,1,1,1,,1,1,1,13-Aug-18,3.96,3.71,0.2916,0.4942,,
42,ARTR,POSE,Live,2,0,1,1,1,1,1,,1,1,1,13-Aug-18,3.43,3.01,0.2253,0.5932,,
43,ARTR,HECO,Live,2,0,1,0,0,1,1,,1,1,1,13-Aug-18,1.46,1.4,0.0881,0.1543,,
44,ARTR,PSSP,Live,2,1,2,1,0,0,0,,1,1,1,13-Aug-18,0.36,0.21,0.0386,0.0366,,
45,ARTR,BARE,Live,2,0,0,0,0,0,1,,1,1,1,13-Aug-18,2.55,2.34,0.2824,0.3685,,
46,ARTR,ARTR,Sterile,2,0,0,0,0,0,0,,1,1,1,13-Aug-18,0.54,0.39,0.1179,0.0465,,
47,ARTR,POSE,Sterile,2,1,0,0,0,0,1,,1,1,1,13-Aug-18,0.27,0.2,0.0404,0.0317,,
48,ARTR,HECO,Sterile,2,3,4,1,1,1,1,,1,1,1,13-Aug-18,1.77,1.54,0.1819,0.2239,,
49,ARTR,PSSP,Sterile,2,0,0,0,1,2,2,1,1,1,1,13-Aug-18,1.02,0.89,0.1205,0.1166,,
50,ARTR,BARE,Sterile,2,0,1,4,3,3,3,2,1,1,1,13-Aug-18,1,0.9,0.1304,0.1172,,
51,POSE,ARTR,Live,2,0,0,0,4,5,5,4,1,1,1,13-Aug-18,2.34,1.94,0.0683,0.2973,,
52,POSE,POSE,Live,2,0,0,4,1,2,2,1,1,1,1,13-Aug-18,0.61,0.49,0.0333,0.0861,,
53,POSE,HECO,Live,2,0,0,4,0,2,2,1,1,1,1,13-Aug-18,2.13,1.86,0.0838,0.8606,,
54,POSE,PSSP,Live,2,0,0,1,1,4,4,3,1,1,1,13-Aug-18,,3.37,0.0818,0.3338,,
55,POSE,BARE,Live,2,0,0,0,0,0,0,,0,0,0,,,,,,,
56,POSE,ARTR,Sterile,2,0,0,0,1,3,5,4,1,1,1,13-Aug-18,1.22,1.09,0.0491,0.152,,
57,POSE,POSE,Sterile,2,0,1,1,1,4,4,3,1,1,1,31-Jul-18,1.54,1.45,0.0624,0.2716,,
58,POSE,HECO,Sterile,2,0,1,1,3,4,5,4,1,1,1,13-Aug-18,4.09,3.89,0.1517,0.714,,
59,POSE,PSSP,Sterile,2,0,0,0,0,4,4,3,1,1,1,13-Aug-18,3.51,3.23,0.1863,0.4506,,
60,POSE,BARE,Sterile,2,0,0,0,0,4,4,3,1,1,1,13-Aug-18,1.29,1.08,0.0438,0.1309,,
61,HECO,ARTR,Live,2,0,0,0,0,0,0,,0,0,0,,,,,,,
62,HECO,POSE,Live,2,0,1,1,1,1,1,,1,1,1,13-Aug-18,3.86,3.67,0.3423,0.5798,,
63,HECO,HECO,Live,2,0,1,0,1,1,1,,1,1,1,13-Aug-18,2.96,2.74,0.2208,0.3815,,
64,HECO,PSSP,Live,2,0,0,1,1,1,1,,1,1,1,13-Aug-18,4.19,3.96,0.5054,0.5997,,orange stuff on paper towel
65,HECO,BARE,Live,2,0,0,0,0,0,0,,1,1,1,,,,,,,
66,HECO,ARTR,Sterile,2,0,0,0,0,0,0,,1,1,1,,,,,,,
67,HECO,POSE,Sterile,2,0,0,0,0,0,0,,1,1,1,,,,,,,
68,HECO,HECO,Sterile,2,0,0,0,0,0,0,,1,1,1,,,,,,,
69,HECO,PSSP,Sterile,2,0,0,0,0,0,0,,1,1,1,,,,,,,
70,HECO,BARE,Sterile,2,0,0,0,0,0,0,,1,1,1,,,,,,,weird orange crust on surface of soil
71,PSSP,ARTR,Live,2,0,1,5,5,4,4,3,1,1,1,13-Aug-18,2.69,2.51,0.2532,0.4607,,
72,PSSP,POSE,Live,2,0,0,4,4,4,4,3,1,1,1,13-Aug-18,5.16,4.97,0.291,0.7388,,
73,PSSP,HECO,Live,2,0,0,1,1,2,2,1,1,1,1,13-Aug-18,6.04,5.84,0.5223,1.0922,,
74,PSSP,PSSP,Live,2,0,0,3,3,4,4,3,1,1,1,13-Aug-18,3.8,3.78,0.24,0.6853,,
75,PSSP,BARE,Live,2,0,1,2,5,4,5,4,1,1,1,13-Aug-18,3.81,3.49,0.3425,0.5909,,
76,PSSP,ARTR,Sterile,2,0,0,3,3,4,5,4,1,1,1,13-Aug-18,3.86,3.7,0.1789,0.9354,,
77,PSSP,POSE,Sterile,2,0,0,2,2,2,2,1,1,1,1,13-Aug-18,6.55,6.41,0.2993,1.6526,,
78,PSSP,HECO,Sterile,2,0,0,2,3,4,4,3,1,1,1,13-Aug-18,2.89,2.79,0.2289,0.5408,,
79,PSSP,PSSP,Sterile,2,0,0,1,2,4,3,2,1,1,1,13-Aug-18,3.55,3.29,0.1491,0.552,,white mold in paper towel
80,PSSP,BARE,Sterile,2,0,0,0,2,4,4,3,1,1,1,13-Aug-18,4.27,4,0.2117,0.6502,,
81,ARTR,ARTR,Live,3,0,0,0,0,2,2,1,1,1,1,13-Aug-18,1.43,1.14,0.0874,0.1225,,
82,ARTR,POSE,Live,3,1,2,0,0,0,0,,0,0,0,,,,,,,
83,ARTR,HECO,Live,3,0,2,1,1,1,1,,1,1,1,13-Aug-18,3.09,2.84,0.225,0.4844,,
84,ARTR,PSSP,Live,3,1,3,1,3,3,3,2,1,1,1,13-Aug-18,1.9,1.88,0.257,0.1861,,180713 leaf droopy despite watering
85,ARTR,BARE,Live,3,2,1,0,0,0,0,,0,0,0,,,,,,,
86,ARTR,ARTR,Sterile,3,0,1,1,1,1,1,,1,1,1,13-Aug-18,1.65,1.39,0.117,0.1952,,180713 leaf droopy despite watering
87,ARTR,POSE,Sterile,3,2,3,3,3,2,3,2,1,1,1,13-Aug-18,3.08,3.11,0.2418,0.4702,,180713 leaf droopy despite watering
88,ARTR,HECO,Sterile,3,1,0,0,1,1,1,,1,1,1,13-Aug-18,0.95,0.77,0.1512,0.1171,,
89,ARTR,PSSP,Sterile,3,3,6,5,5,5,5,4,1,1,1,13-Aug-18,2.07,1.82,0.1366,0.2712,,
90,ARTR,BARE,Sterile,3,1,3,1,1,1,1,,1,1,1,13-Aug-18,2.08,1.92,0.2184,0.2667,,180713 leaf droopy despite watering
91,POSE,ARTR,Live,3,0,0,0,0,3,3,2,1,1,1,31-Jul-18,1.31,1.21,0.0307,0.1895,,
92,POSE,POSE,Live,3,0,0,0,2,4,4,3,1,1,1,13-Aug-18,0.83,0.69,0.0382,0.1021,,
93,POSE,HECO,Live,3,0,0,0,3,4,4,3,1,1,1,13-Aug-18,0.22,0.17,0.0116,0.0249,,
94,POSE,PSSP,Live,3,0,0,0,3,4,6,5,1,1,1,13-Aug-18,1.18,1.06,0.0629,0.1766,,
95,POSE,BARE,Live,3,0,0,0,4,5,5,4,1,1,1,13-Aug-18,1.28,1.25,0.0721,0.1558,,
96,POSE,ARTR,Sterile,3,0,0,0,1,2,2,1,1,1,1,13-Aug-18,1.91,1.64,0.0591,0.2733,,
97,POSE,POSE,Sterile,3,0,0,0,1,4,5,4,1,1,1,13-Aug-18,1.7,1.51,0.0633,0.2802,,
98,POSE,HECO,Sterile,3,0,0,0,1,4,4,3,1,1,1,13-Aug-18,1.82,1.81,0.1108,0.2703,,
99,POSE,PSSP,Sterile,3,0,0,0,2,3,4,3,1,1,1,13-Aug-18,0.63,0.57,0.0392,0.1012,,
100,POSE,BARE,Sterile,3,0,0,0,1,4,4,3,1,1,1,13-Aug-18,0.45,0.31,0.0191,0.0502,,
101,HECO,ARTR,Live,3,0,2,2,2,2,2,1,1,1,1,14-Aug-18,4.05,4,0.3967,0.5811,,
102,HECO,POSE,Live,3,0,0,1,1,1,1,,1,1,1,14-Aug-18,3.96,3.69,0.416,0.4994,,
103,HECO,HECO,Live,3,0,0,0,1,1,1,,1,1,1,14-Aug-18,3.13,2.98,0.2951,0.3782,,black mold on paper towel
104,HECO,PSSP,Live,3,0,0,0,0,1,1,,1,1,1,14-Aug-18,4.81,4.72,0.3187,0.8346,,
105,HECO,BARE,Live,3,0,0,0,0,1,1,,1,1,1,14-Aug-18,1.95,1.88,0.1466,0.26,,
106,HECO,ARTR,Sterile,3,0,0,0,1,1,1,,1,1,1,14-Aug-18,1.61,1.65,0.1935,0.3424,,
107,HECO,POSE,Sterile,3,0,0,0,0,0,0,,0,0,1,14-Aug-18,0.28,0.2,0.0317,0.0338,1,180713 new germ?
108,HECO,HECO,Sterile,3,0,0,0,0,0,0,,0,0,0,,,,,,,
109,HECO,PSSP,Sterile,3,0,0,0,1,1,1,,1,1,1,14-Aug-18,3.31,3.3,0.3565,0.5555,,
110,HECO,BARE,Sterile,3,0,0,0,0,0,0,,0,0,0,,,,,,,
111,PSSP,ARTR,Live,3,0,2,3,3,4,5,4,1,1,1,14-Aug-18,2.99,2.82,0.1967,0.4874,,
112,PSSP,POSE,Live,3,0,0,0,0,4,3,2,1,1,1,14-Aug-18,3.07,3.06,0.2212,0.5378,,
113,PSSP,HECO,Live,3,0,3,5,4,5,5,4,1,1,1,14-Aug-18,3.18,2.99,0.2456,0.4105,,
114,PSSP,PSSP,Live,3,0,1,4,4,4,4,3,1,1,1,14-Aug-18,3.81,3.69,0.2226,0.5744,,
115,PSSP,BARE,Live,3,0,1,4,5,5,6,5,1,1,1,14-Aug-18,3.16,3.13,0.1847,0.5094,,
116,PSSP,ARTR,Sterile,3,0,1,4,4,5,5,4,1,1,1,14-Aug-18,3.8,3.65,0.1263,0.6532,,
117,PSSP,POSE,Sterile,3,0,1,2,5,7,6,5,1,1,1,14-Aug-18,2.88,2.75,0.2122,0.4599,,
118,PSSP,HECO,Sterile,3,0,0,2,2,5,4,3,1,1,1,14-Aug-18,3.7,3.59,0.123,0.6231,,black mold
119,PSSP,PSSP,Sterile,3,0,0,1,1,1,1,,1,1,1,14-Aug-18,1.03,1,0.1684,0.1993,,
120,PSSP,BARE,Sterile,3,0,0,4,4,5,5,4,1,1,1,14-Aug-18,3.86,3.73,0.1282,0.7065,,black mold
121,ARTR,ARTR,Live,4,0,3,1,2,2,2,1,1,1,1,14-Aug-18,1.48,1.4,0.1529,0.1912,,180713 leaf droopy despite watering
122,ARTR,POSE,Live,4,1,5,3,3,3,3,2,1,1,1,14-Aug-18,2.66,2.64,0.1627,0.3329,,
123,ARTR,HECO,Live,4,1,0,0,1,3,1,,1,1,1,14-Aug-18,1.17,0.99,0.1588,0.1061,,black mold and broken off root not collected at bottom
124,ARTR,PSSP,Live,4,1,5,2,2,2,2,1,1,1,1,14-Aug-18,2.45,2.45,0.3502,0.2477,,180713 leaf droopy despite watering
125,ARTR,BARE,Live,4,2,4,4,5,5,5,4,1,1,1,14-Aug-18,4.01,,0.292,0.4921,,
126,ARTR,ARTR,Sterile,4,0,2,1,1,1,1,,1,1,1,14-Aug-18,2.39,2.27,0.199,0.2689,,
127,ARTR,POSE,Sterile,4,0,0,0,1,3,3,2,1,1,1,14-Aug-18,1.82,1.65,0.1682,0.1875,,
128,ARTR,HECO,Sterile,4,0,1,0,0,0,1,,1,1,1,14-Aug-18,1.71,1.5,0.1842,0.1795,,
129,ARTR,PSSP,Sterile,4,0,3,0,0,0,0,,1,1,1,14-Aug-18,1.72,1.67,0.1309,0.1743,,
130,ARTR,BARE,Sterile,4,1,0,0,0,0,0,,1,1,1,14-Aug-18,0.05,,0.0103,0.0036,,
