Sample,Lab number,Source,Type,OM,OM rate,P1,P1 rate,P2,P2 rate,K,K rate,Mg,Mg rate,Ca,Ca rate,pH,CEC,%satK,%satMg,%satCa,Nitrate
ARTR-LV,34281516,ARTR,LV,3.4,M,19,M,128,VH,352,VH,264,VH,2611,H,7.2,16.2,5.6,13.6,80.8,7
HECO-LV,34281517,HECP,LV,3.2,M,34,VH,128,VH,480,VH,260,VH,2361,H,7.1,15.2,8.1,14.3,77.6,6
POSE-LV,34281518,POSE,LV,3.7,H,24,H,110,VH,435,VH,277,VH,2600,H,7.2,16.4,6.8,14.1,79.1,9
PSSP-LV,34281519,PSSP,LV,4.1,H,34,VH,116,VH,516,VH,232,H,2647,H,7.3,16.5,8,11.7,80.3,18
BARE-LV,34281520,BARE,LV,2.9,M,19,M,128,VH,282,VH,281,VH,2701,H,7.3,16.6,4.4,14.1,81.5,7
BULK-LV,34281521,BULK,LV,2.7,M,18,M,118,VH,376,VH,283,H,3832,VH,7.6,22.5,4.3,10.5,85.2,7
ARTR-ST,34281522,ARTR,ST,3.5,M,32,VH,119,VH,443,VH,274,VH,2803,H,7.5,17.4,6.5,13.1,80.4,2
HECO-ST,34281523,HECP,ST,3.2,M,42,VH,131,VH,452,VH,267,VH,2398,H,7.4,15.4,7.5,14.4,78.1,1
POSE-ST,34281524,POSE,ST,3.7,H,37,VH,119,VH,382,VH,241,VH,2381,H,7.6,14.9,6.6,13.5,79.9,2
PSSP-ST,34281525,PSSP,ST,3.4,M,38,VH,125,VH,516,VH,267,VH,2632,H,7.7,16.7,7.9,13.3,78.8,2
BARE-ST,34281526,BARE,ST,2.4,L,25,H,129,VH,264,VH,331,VH,2812,H,7.5,17.5,3.9,15.8,80.3,1
BULK-ST,34281527,BULK,ST,2.7,M,28,H,132,VH,300,VH,310,VH,3298,VH,7.4,19.8,3.9,13,83.1,2
