fieldID,DonorSpp,Transplant,Treatment,Transect,Rep,Transect,Position,Offset,Side,Transplant date,Moist_190509,Moist_190605
1,PSSP,POSE,Feedback,1,1,1,3.2,2.5,L,16-Oct-18,19.7,12.8
2,PSSP,POSE,Exclusion,1,1,1,3.2,2.5,L,16-Oct-18,17,10.5
3,PSSP,POSE,Control,1,1,1,3.2,2.5,L,16-Oct-18,19.9,14.1
4,BARE,ARTR,Feedback,1,1,1,4.7,1,L,15-Oct-18,12,13.4
5,BARE,ARTR,Exclusion,1,1,1,4.7,1,L,15-Oct-18,16.1,14.1
6,BARE,ARTR,Control,1,1,1,4.7,1,L,15-Oct-18,20.2,13.6
7,BARE,HECO,Feedback,1,1,1,4.7,1,L,18-Oct-18,18.1,13
8,BARE,HECO,Exclusion,1,1,1,4.7,1,L,18-Oct-18,15.6,8.8
9,BARE,HECO,Control,1,1,1,4.7,1,L,18-Oct-18,15.3,9.7
10,BARE,PSSP,Feedback,1,1,1,4.7,1,L,17-Oct-18,15.2,8.3
11,BARE,PSSP,Exclusion,1,1,1,4.7,1,L,17-Oct-18,14.1,10.9
12,BARE,PSSP,Control,1,1,1,4.7,1,L,17-Oct-18,15.1,9.2
13,BARE,POSE,Feedback,1,1,1,4.7,1,L,16-Oct-18,14.4,9.4
14,BARE,POSE,Exclusion,1,1,1,4.7,1,L,16-Oct-18,10.8,9.6
15,BARE,POSE,Control,1,1,1,4.7,1,L,16-Oct-18,11.8,8.6
16,PSSP,ARTR,Feedback,1,1,1,5.2,2,R,15-Oct-18,11.6,9.1
17,PSSP,ARTR,Exclusion,1,1,1,5.2,2,R,15-Oct-18,12.4,5.9
18,PSSP,ARTR,Control,1,1,1,5.2,2,R,15-Oct-18,14.1,7.8
19,PSSP,HECO,Feedback,1,1,1,5.2,2,R,18-Oct-18,10.3,6.7
20,PSSP,HECO,Exclusion,1,1,1,5.2,2,R,18-Oct-18,10.1,6.2
21,PSSP,HECO,Control,1,1,1,5.2,2,R,18-Oct-18,16.3,4.5
22,PSSP,PSSP,Feedback,1,1,1,5.2,2,R,17-Oct-18,14.8,10.7
23,PSSP,PSSP,Exclusion,1,1,1,5.2,2,R,17-Oct-18,12.5,5
24,PSSP,PSSP,Control,1,1,1,5.2,2,R,17-Oct-18,15.3,8.7
25,ARTR,ARTR,Feedback,1,1,1,5.3,1.5,R,15-Oct-18,10.9,7.3
26,ARTR,ARTR,Exclusion,1,1,1,5.3,1.5,R,15-Oct-18,11.8,7.7
27,ARTR,ARTR,Control,1,1,1,5.3,1.5,R,15-Oct-18,16.2,9
28,ARTR,HECO,Feedback,1,1,1,5.3,1.5,R,18-Oct-18,12.6,6
29,ARTR,HECO,Exclusion,1,1,1,5.3,1.5,R,18-Oct-18,7.8,4.2
30,ARTR,HECO,Control,1,1,1,5.3,1.5,R,18-Oct-18,8.8,6.3
31,ARTR,PSSP,Feedback,1,1,1,5.3,1.5,R,17-Oct-18,17.3,9.2
32,ARTR,PSSP,Exclusion,1,1,1,5.3,1.5,R,17-Oct-18,15.3,9.3
33,ARTR,PSSP,Control,1,1,1,5.3,1.5,R,17-Oct-18,15.1,5.7
34,ARTR,POSE,Feedback,1,1,1,5.3,1.5,R,16-Oct-18,15,8
35,ARTR,POSE,Exclusion,1,1,1,5.3,1.5,R,16-Oct-18,12.1,6.1
36,ARTR,POSE,Control,1,1,1,5.3,1.5,R,16-Oct-18,11.5,4.8
37,HECO,ARTR,Feedback,1,1,1,5.6,3,L,15-Oct-18,13.4,9.3
38,HECO,ARTR,Exclusion,1,1,1,5.6,3,L,15-Oct-18,12.6,5.1
39,HECO,ARTR,Control,1,1,1,5.6,3,L,15-Oct-18,17.9,9.9
40,HECO,HECO,Feedback,1,1,1,5.6,3,L,18-Oct-18,17.4,10.2
41,HECO,HECO,Exclusion,1,1,1,5.6,3,L,18-Oct-18,16.7,7.8
42,HECO,HECO,Control,1,1,1,5.6,3,L,18-Oct-18,17.4,8.5
43,HECO,PSSP,Feedback,1,1,1,5.7,1,L,17-Oct-18,14.8,7.3
44,HECO,PSSP,Exclusion,1,1,1,5.7,1,L,17-Oct-18,17.4,9.8
45,HECO,PSSP,Control,1,1,1,5.7,1,L,17-Oct-18,17.4,11.7
46,HECO,POSE,Feedback,1,1,1,5.7,1,L,16-Oct-18,17.9,9.7
47,HECO,POSE,Exclusion,1,1,1,5.7,1,L,16-Oct-18,15.8,10.8
48,HECO,POSE,Control,1,1,1,5.7,1,L,16-Oct-18,14.3,6
49,POSE,HECO,Feedback,1,1,1,6,4,R,18-Oct-18,16.3,8.3
50,POSE,HECO,Exclusion,1,1,1,6,4,R,18-Oct-18,17.3,8.4
51,POSE,HECO,Control,1,1,1,6,4,R,18-Oct-18,19,9.4
52,POSE,PSSP,Feedback,1,1,1,6,4,R,17-Oct-18,10.4,8.5
53,POSE,PSSP,Exclusion,1,1,1,6,4,R,17-Oct-18,13.7,6.5
54,POSE,PSSP,Control,1,1,1,6,4,R,17-Oct-18,16.3,8.7
55,POSE,ARTR,Feedback,1,1,1,6.1,1,R,15-Oct-18,11.8,6.8
56,POSE,ARTR,Exclusion,1,1,1,6.1,1,R,15-Oct-18,11.5,8.2
57,POSE,ARTR,Control,1,1,1,6.1,1,R,15-Oct-18,14.1,5
58,POSE,POSE,Feedback,1,1,1,6.2,4,R,16-Oct-18,16.1,7.6
59,POSE,POSE,Exclusion,1,1,1,6.2,4,R,16-Oct-18,12.2,5.6
60,POSE,POSE,Control,1,1,1,6.2,4,R,16-Oct-18,10.1,4.5
61,HECO,ARTR,Feedback,1,2,1,7.5,1.5,L,15-Oct-18,18.5,13.3
62,HECO,ARTR,Exclusion,1,2,1,7.5,1.5,L,15-Oct-18,17.7,12.2
63,HECO,ARTR,Control,1,2,1,7.5,1.5,L,15-Oct-18,19.1,12.3
64,HECO,HECO,Feedback,1,2,1,7.5,3,L,18-Oct-18,20.3,9.6
65,HECO,HECO,Exclusion,1,2,1,7.5,3,L,18-Oct-18,18.6,9.3
66,HECO,HECO,Control,1,2,1,7.5,3,L,18-Oct-18,25,16.5
67,HECO,PSSP,Feedback,1,2,1,7.5,3,L,17-Oct-18,20.7,8.5
68,HECO,PSSP,Exclusion,1,2,1,7.5,3,L,17-Oct-18,20.5,8.1
69,HECO,PSSP,Control,1,2,1,7.5,3,L,17-Oct-18,18.3,8.4
70,HECO,POSE,Feedback,1,2,1,7.5,3,L,16-Oct-18,19.8,10.6
71,HECO,POSE,Exclusion,1,2,1,7.5,3,L,16-Oct-18,19.5,12.9
72,HECO,POSE,Control,1,2,1,7.5,3,L,16-Oct-18,17.5,9.7
73,BARE,PSSP,Feedback,1,2,1,8.6,3,R,17-Oct-18,16.2,8.5
74,BARE,PSSP,Exclusion,1,2,1,8.6,3,R,17-Oct-18,15,7.2
75,BARE,PSSP,Control,1,2,1,8.6,3,R,17-Oct-18,16.1,5.5
76,BARE,POSE,Feedback,1,2,1,8.6,3,R,16-Oct-18,11.2,10.8
77,BARE,POSE,Exclusion,1,2,1,8.6,3,R,16-Oct-18,11.3,8.4
78,BARE,POSE,Control,1,2,1,8.6,3,R,16-Oct-18,11,7.1
79,POSE,ARTR,Feedback,1,2,1,9.3,1.5,L,15-Oct-18,18,14.1
80,POSE,ARTR,Exclusion,1,2,1,9.3,1.5,L,15-Oct-18,20.7,11.2
81,POSE,ARTR,Control,1,2,1,9.3,1.5,L,15-Oct-18,20.1,13
82,PSSP,ARTR,Feedback,1,2,1,9.5,7,L,15-Oct-18,19.7,13.8
83,PSSP,ARTR,Exclusion,1,2,1,9.5,7,L,15-Oct-18,13.6,10.2
84,PSSP,ARTR,Control,1,2,1,9.5,7,L,15-Oct-18,20.1,11.7
85,PSSP,HECO,Feedback,1,2,1,9.5,7,L,18-Oct-18,18.6,11.8
86,PSSP,HECO,Exclusion,1,2,1,9.5,7,L,18-Oct-18,18.8,15.7
87,PSSP,HECO,Control,1,2,1,9.5,7,L,18-Oct-18,16.7,6.9
88,BARE,ARTR,Feedback,1,2,1,9.6,0,,15-Oct-18,19.4,12.4
89,BARE,ARTR,Exclusion,1,2,1,9.6,0,,15-Oct-18,21.1,11.6
90,BARE,ARTR,Control,1,2,1,9.6,0,,15-Oct-18,17.4,15.5
91,BARE,HECO,Feedback,1,2,1,9.6,0,,18-Oct-18,20.7,12.2
92,BARE,HECO,Exclusion,1,2,1,9.6,0,,18-Oct-18,14.9,12.6
93,BARE,HECO,Control,1,2,1,9.6,0,,18-Oct-18,19.5,13.3
94,PSSP,POSE,Feedback,1,2,1,10,3,L,16-Oct-18,17.3,12.4
95,PSSP,POSE,Exclusion,1,2,1,10,3,L,16-Oct-18,18.9,12.4
96,PSSP,POSE,Control,1,2,1,10,3,L,16-Oct-18,18.3,16
97,ARTR,ARTR,Feedback,1,2,1,11,3,L,15-Oct-18,17,10.7
98,ARTR,ARTR,Exclusion,1,2,1,11,3,L,15-Oct-18,11.7,9.2
99,ARTR,ARTR,Control,1,2,1,11,3,L,15-Oct-18,9.8,11.2
100,ARTR,HECO,Feedback,1,2,1,11,3,L,18-Oct-18,10.8,7.2
101,ARTR,HECO,Exclusion,1,2,1,11,3,L,18-Oct-18,15.2,9.1
102,ARTR,HECO,Control,1,2,1,11,3,L,18-Oct-18,14.2,11.9
103,ARTR,PSSP,Feedback,1,2,1,11,3,L,17-Oct-18,13.2,10.6
104,ARTR,PSSP,Exclusion,1,2,1,11,3,L,17-Oct-18,15.5,11.2
105,ARTR,PSSP,Control,1,2,1,11,3,L,17-Oct-18,15.8,10.4
106,ARTR,POSE,Feedback,1,2,1,11,3,L,16-Oct-18,14.2,9.6
107,ARTR,POSE,Exclusion,1,2,1,11,3,L,16-Oct-18,13.8,10
108,ARTR,POSE,Control,1,2,1,11,3,L,16-Oct-18,12.5,9.7
109,POSE,HECO,Feedback,1,2,1,11,8,L,18-Oct-18,15.3,8.7
110,POSE,HECO,Exclusion,1,2,1,11,8,L,18-Oct-18,16.1,10.8
111,POSE,HECO,Control,1,2,1,11,8,L,18-Oct-18,16.6,8.9
112,POSE,PSSP,Feedback,1,2,1,11,8,L,17-Oct-18,11.9,9.7
113,POSE,PSSP,Exclusion,1,2,1,11,8,L,17-Oct-18,14.1,11.2
114,POSE,PSSP,Control,1,2,1,11,8,L,17-Oct-18,15.9,8
115,POSE,POSE,Feedback,1,2,1,11,8,L,16-Oct-18,16.6,9.1
116,POSE,POSE,Exclusion,1,2,1,11,8,L,16-Oct-18,17.1,8
117,POSE,POSE,Control,1,2,1,11,8,L,16-Oct-18,14.6,6.9
118,PSSP,PSSP,Feedback,1,2,1,14.7,0.5,L,17-Oct-18,18.6,9.5
119,PSSP,PSSP,Exclusion,1,2,1,14.7,0.5,L,17-Oct-18,15.1,7.4
120,PSSP,PSSP,Control,1,2,1,14.7,0.5,L,17-Oct-18,16.9,8.9
121,POSE,ARTR,Feedback,1,3,1,20.6,1,L,15-Oct-18,11.5,9.2
122,POSE,ARTR,Exclusion,1,3,1,20.6,1,L,15-Oct-18,10.4,6.9
123,POSE,ARTR,Control,1,3,1,20.6,1,L,15-Oct-18,13.1,7.9
124,POSE,HECO,Feedback,1,3,1,20.6,1,L,18-Oct-18,11.1,6.1
125,POSE,HECO,Exclusion,1,3,1,20.6,1,L,18-Oct-18,11.4,6
126,POSE,HECO,Control,1,3,1,20.6,1,L,18-Oct-18,12.5,8.5
127,POSE,PSSP,Feedback,1,3,1,20.6,1,L,17-Oct-18,12.6,6.3
128,POSE,PSSP,Exclusion,1,3,1,20.6,1,L,17-Oct-18,10,7.4
129,POSE,PSSP,Control,1,3,1,20.6,1,L,17-Oct-18,12.1,6
130,POSE,POSE,Feedback,1,3,1,20.6,1,L,16-Oct-18,12.3,5.4
131,POSE,POSE,Exclusion,1,3,1,20.6,1,L,16-Oct-18,12.5,8.8
132,POSE,POSE,Control,1,3,1,20.6,1,L,16-Oct-18,12,7.7
133,BARE,ARTR,Feedback,1,3,1,21.8,6,L,15-Oct-18,12.5,6.7
134,BARE,ARTR,Exclusion,1,3,1,21.8,6,L,15-Oct-18,10,6.3
135,BARE,ARTR,Control,1,3,1,21.8,6,L,15-Oct-18,7.7,7.9
136,BARE,HECO,Feedback,1,3,1,21.8,6,L,18-Oct-18,13,9.9
137,BARE,HECO,Exclusion,1,3,1,21.8,6,L,18-Oct-18,11.3,6
138,BARE,HECO,Control,1,3,1,21.8,6,L,18-Oct-18,13,7.2
139,BARE,PSSP,Feedback,1,3,1,21.8,6,L,17-Oct-18,12.3,9.4
140,BARE,PSSP,Exclusion,1,3,1,21.8,6,L,17-Oct-18,10.9,7
141,BARE,PSSP,Control,1,3,1,21.8,6,L,17-Oct-18,12.2,5.5
142,BARE,POSE,Feedback,1,3,1,21.8,6,L,16-Oct-18,13.6,7.7
143,BARE,POSE,Exclusion,1,3,1,21.8,6,L,16-Oct-18,12.1,8.8
144,BARE,POSE,Control,1,3,1,21.8,6,L,16-Oct-18,13.5,6.7
145,PSSP,ARTR,Feedback,1,3,1,24,2,R,15-Oct-18,15.9,5.4
146,PSSP,ARTR,Exclusion,1,3,1,24,2,R,15-Oct-18,15.3,4.7
147,PSSP,ARTR,Control,1,3,1,24,2,R,15-Oct-18,14.9,5.2
148,PSSP,HECO,Feedback,1,3,1,24,2,R,18-Oct-18,12.2,5.9
149,PSSP,HECO,Exclusion,1,3,1,24,2,R,18-Oct-18,12.6,8.6
150,PSSP,HECO,Control,1,3,1,24,2,R,18-Oct-18,16.9,9.5
151,ARTR,ARTR,Feedback,1,3,1,24.8,0.5,L,15-Oct-18,12.5,9.2
152,ARTR,ARTR,Exclusion,1,3,1,24.8,0.5,L,15-Oct-18,13.5,10.5
153,ARTR,ARTR,Control,1,3,1,24.8,0.5,L,15-Oct-18,13.9,12.4
154,ARTR,HECO,Feedback,1,3,1,24.8,0.5,L,18-Oct-18,11.9,9.5
155,ARTR,HECO,Exclusion,1,3,1,24.8,0.5,L,18-Oct-18,1.7,6.9
156,ARTR,HECO,Control,1,3,1,24.8,0.5,L,18-Oct-18,15.1,7.6
157,ARTR,PSSP,Feedback,1,3,1,24.8,0.5,L,17-Oct-18,12.4,7.5
158,ARTR,PSSP,Exclusion,1,3,1,24.8,0.5,L,17-Oct-18,12.2,8.9
159,ARTR,PSSP,Control,1,3,1,24.8,0.5,L,17-Oct-18,10.1,5.3
160,ARTR,POSE,Feedback,1,3,1,24.8,0.5,L,16-Oct-18,10.4,5.4
161,ARTR,POSE,Exclusion,1,3,1,24.8,0.5,L,16-Oct-18,11.8,6
162,ARTR,POSE,Control,1,3,1,24.8,0.5,L,16-Oct-18,12.5,4.8
163,PSSP,PSSP,Feedback,1,3,1,25,2,R,17-Oct-18,14.6,6.4
164,PSSP,PSSP,Exclusion,1,3,1,25,2,R,17-Oct-18,14,4.8
165,PSSP,PSSP,Control,1,3,1,25,2,R,17-Oct-18,14.7,5.7
166,PSSP,POSE,Feedback,1,3,1,25,2,R,16-Oct-18,10.8,10.1
167,PSSP,POSE,Exclusion,1,3,1,25,2,R,16-Oct-18,12.4,8.3
168,PSSP,POSE,Control,1,3,1,25,2,R,16-Oct-18,10.7,6.5
169,PSSP,ARTR,Feedback,1,4,1,27,5,L,15-Oct-18,8.9,5.3
170,PSSP,ARTR,Exclusion,1,4,1,27,5,L,15-Oct-18,9.5,5.3
171,PSSP,ARTR,Control,1,4,1,27,5,L,15-Oct-18,10,6.5
172,PSSP,HECO,Feedback,1,4,1,27,5,L,18-Oct-18,9.5,6.2
173,PSSP,HECO,Exclusion,1,4,1,27,5,L,18-Oct-18,8,6.4
174,PSSP,HECO,Control,1,4,1,27,5,L,18-Oct-18,11.5,4.8
175,PSSP,PSSP,Feedback,1,4,1,27,5,L,17-Oct-18,11.8,7.3
176,PSSP,PSSP,Exclusion,1,4,1,27,5,L,17-Oct-18,10.1,7.3
177,PSSP,PSSP,Control,1,4,1,27,5,L,17-Oct-18,9.5,6.7
178,PSSP,POSE,Feedback,1,4,1,27,5,L,16-Oct-18,10.1,8.7
179,PSSP,POSE,Exclusion,1,4,1,27,5,L,16-Oct-18,7.8,5.6
180,PSSP,POSE,Control,1,4,1,27,5,L,16-Oct-18,9.8,4.7
181,POSE,ARTR,Feedback,1,4,1,27,5,R,15-Oct-18,11.8,8.1
182,POSE,ARTR,Exclusion,1,4,1,27,5,R,15-Oct-18,13.7,8.3
183,POSE,ARTR,Control,1,4,1,27,5,R,15-Oct-18,16.8,10.2
184,POSE,HECO,Feedback,1,4,1,27,5,R,18-Oct-18,13.8,10.8
185,POSE,HECO,Exclusion,1,4,1,27,5,R,18-Oct-18,15.3,4.7
186,POSE,HECO,Control,1,4,1,27,5,R,18-Oct-18,16.3,6.4
187,POSE,PSSP,Feedback,1,4,1,27,5,R,17-Oct-18,12.8,14.1
188,POSE,PSSP,Exclusion,1,4,1,27,5,R,17-Oct-18,11.3,6.4
189,POSE,PSSP,Control,1,4,1,27,5,R,17-Oct-18,11.1,8
190,POSE,POSE,Feedback,1,4,1,27,5,R,16-Oct-18,8.2,5.8
191,POSE,POSE,Exclusion,1,4,1,27,5,R,16-Oct-18,7.9,6.6
192,POSE,POSE,Control,1,4,1,27,5,R,16-Oct-18,5.7,4.5
193,ARTR,ARTR,Feedback,1,4,1,27.8,1,L,15-Oct-18,9,8.1
194,ARTR,ARTR,Exclusion,1,4,1,27.8,1,L,15-Oct-18,8.9,8.1
195,ARTR,ARTR,Control,1,4,1,27.8,1,L,15-Oct-18,11.4,6.4
196,ARTR,HECO,Feedback,1,4,1,27.8,1,L,18-Oct-18,14.5,7.9
197,ARTR,HECO,Exclusion,1,4,1,27.8,1,L,18-Oct-18,10.7,8.1
198,ARTR,HECO,Control,1,4,1,27.8,1,L,18-Oct-18,10.6,6.4
199,ARTR,PSSP,Feedback,1,4,1,27.8,1,L,17-Oct-18,11.5,7.1
200,ARTR,PSSP,Exclusion,1,4,1,27.8,1,L,17-Oct-18,14.1,12.2
201,ARTR,PSSP,Control,1,4,1,27.8,1,L,17-Oct-18,14.4,11
202,ARTR,POSE,Feedback,1,4,1,27.8,1,L,16-Oct-18,11.8,11.2
203,ARTR,POSE,Exclusion,1,4,1,27.8,1,L,16-Oct-18,14.1,7.7
204,ARTR,POSE,Control,1,4,1,27.8,1,L,16-Oct-18,13.5,11.5
205,BARE,ARTR,Feedback,1,4,1,28.5,3,R,15-Oct-18,11.7,9.7
206,BARE,ARTR,Exclusion,1,4,1,28.5,3,R,15-Oct-18,10.8,9.8
207,BARE,ARTR,Control,1,4,1,28.5,3,R,15-Oct-18,10.4,6.1
208,BARE,HECO,Feedback,1,4,1,28.5,3,R,18-Oct-18,9.9,7
209,BARE,HECO,Exclusion,1,4,1,28.5,3,R,18-Oct-18,11.4,11.7
210,BARE,HECO,Control,1,4,1,28.5,3,R,18-Oct-18,11.1,9.8
211,BARE,PSSP,Feedback,1,4,1,28.5,3,R,17-Oct-18,9.1,9.2
212,BARE,PSSP,Exclusion,1,4,1,28.5,3,R,17-Oct-18,11.6,8.1
213,BARE,PSSP,Control,1,4,1,28.5,3,R,17-Oct-18,10.7,9.3
214,BARE,POSE,Feedback,1,4,1,28.5,3,R,16-Oct-18,8.8,5.5
215,BARE,POSE,Exclusion,1,4,1,28.5,3,R,16-Oct-18,9.3,4.3
216,BARE,POSE,Control,1,4,1,28.5,3,R,16-Oct-18,12.2,10.7
217,HECO,ARTR,Feedback,1,3,1,30.3,6,L,15-Oct-18,7.5,6.9
218,HECO,ARTR,Exclusion,1,3,1,30.3,6,L,15-Oct-18,7,6.5
219,HECO,ARTR,Control,1,3,1,30.3,6,L,15-Oct-18,5.1,9.2
220,HECO,HECO,Feedback,1,3,1,30.3,6,L,18-Oct-18,10.1,9.8
221,HECO,HECO,Exclusion,1,3,1,30.3,6,L,18-Oct-18,9.4,8
222,HECO,HECO,Control,1,3,1,30.3,6,L,18-Oct-18,12.4,8.3
223,HECO,PSSP,Feedback,1,3,1,30.3,6,L,17-Oct-18,10.7,5.5
224,HECO,PSSP,Exclusion,1,3,1,30.3,6,L,17-Oct-18,12.1,8.3
