"","fieldID","DonorSpp","Transplant","Treatment","Transect","Rep","Position","Offset","Side","Transplant.date","Dist_centroid","Dist_edge","Abv.mass","Area","Surv","Germ","Repro","Height","Diam_donor"
"1",1,"PSSP","POSE","Feedback",1,1,3.2,2.5,"L","16-Oct-18",14,8,0.0714,0.220932503363702,1,6,0,7.7,6
"2",2,"PSSP","POSE","Exclusion",1,1,3.2,2.5,"L","16-Oct-18",16,6,0.1234,0.303870549418473,1,8,0,6,10
"3",3,"PSSP","POSE","Control",1,1,3.2,2.5,"L","16-Oct-18",16,6,0.005,0.10477211499722,1,4,0,3.5,10
"4",4,"BARE","ARTR","Feedback",1,1,4.7,1,"L","15-Oct-18",NA,NA,0.0013,0.0346360590058275,0,3,0,1.9,NA
"5",5,"BARE","ARTR","Exclusion",1,1,4.7,1,"L","15-Oct-18",NA,NA,0.0724,2.52112810450581,1,4,0,4.5,NA
"6",6,"BARE","ARTR","Control",1,1,4.7,1,"L","15-Oct-18",NA,NA,NA,NA,0,2,0,NA,NA
"7",7,"BARE","HECO","Feedback",1,1,4.7,1,"L","18-Oct-18",NA,NA,0.0366,0.0100530964914873,1,2,0,8.2,NA
"8",8,"BARE","HECO","Exclusion",1,1,4.7,1,"L","18-Oct-18",NA,NA,0.0499,0.019085175370558,1,3,0,10.9,NA
"9",9,"BARE","HECO","Control",1,1,4.7,1,"L","18-Oct-18",NA,NA,0.0113,0.000471238898038469,1,4,0,9.8,NA
"10",10,"BARE","PSSP","Feedback",1,1,4.7,1,"L","17-Oct-18",NA,NA,0.0654,0.076340701482232,1,7,0,17.7,NA
"11",11,"BARE","PSSP","Exclusion",1,1,4.7,1,"L","17-Oct-18",NA,NA,0.1115,0.239782059285241,1,9,0,17.8,NA
"12",12,"BARE","PSSP","Control",1,1,4.7,1,"L","17-Oct-18",NA,NA,0.0419,0.00934623814442964,1,7,0,17.6,NA
"13",13,"BARE","POSE","Feedback",1,1,4.7,1,"L","16-Oct-18",NA,NA,0.0815,1.03908177017482,1,5,0,3.3,NA
"14",14,"BARE","POSE","Exclusion",1,1,4.7,1,"L","16-Oct-18",NA,NA,0.1487,0.974522041143554,1,6,0,4.7,NA
"15",15,"BARE","POSE","Control",1,1,4.7,1,"L","16-Oct-18",NA,NA,0.0176,0.117888264325957,1,4,0,4.3,NA
"16",16,"PSSP","ARTR","Feedback",1,1,5.2,2,"R","15-Oct-18",15,8,NA,NA,0,3,0,NA,7
"17",17,"PSSP","ARTR","Exclusion",1,1,5.2,2,"R","15-Oct-18",16,8,0.1056,2.45044226980004,1,4,0,5.4,8
"18",18,"PSSP","ARTR","Control",1,1,5.2,2,"R","15-Oct-18",14,9,0.0142,0.394426957658199,1,2,0,2.5,5
"19",19,"PSSP","HECO","Feedback",1,1,5.2,2,"R","18-Oct-18",14,6,0.0085,0.00125663706143592,1,2,0,6.9,8
"20",20,"PSSP","HECO","Exclusion",1,1,5.2,2,"R","18-Oct-18",15,8,NA,NA,0,1,0,NA,7
"21",21,"PSSP","HECO","Control",1,1,5.2,2,"R","18-Oct-18",23,7,0.01,0.00125663706143592,1,4,0,6.2,16
